product,release_year,screen_size,weight,back_camera_1,back_camera_number_1,back_camera_2,back_camera_number_2,back_camera_3,back_camera_number_3,Max_video_playtime,Max_audio_playtime,battery_capacity,ram,capacity,cost
아이폰 11,2019,15.4,0.194,"1,200",2,0,0,0,0,10,65,"3,110",4,64,"990,000"
아이폰 11,2019,15.4,0.194,"1,200",2,0,0,0,0,10,65,"3,110",4,128,"1,060,000"
아이폰 11 Pro,2019,14.8,0.188,"1,200",3,0,0,0,0,11,65,"3,046",4,64,"1,390,000"
아이폰 11 Pro,2019,14.8,0.188,"1,200",3,0,0,0,0,11,65,"3,046",4,256,"1,600,000"
아이폰 11 Pro,2019,14.8,0.188,"1,200",3,0,0,0,0,11,65,"3,046",4,512,"1,870,000"
아이폰 11 Pro Max,2019,16.4,0.226,"1,200",3,0,0,0,0,12,80,"3,969",4,64,"1,550,000"
아이폰 11 Pro Max,2019,16.4,0.226,"1,200",3,0,0,0,0,12,80,"3,969",4,256,"1,760,000"
아이폰 11 Pro Max,2019,16.4,0.226,"1,200",3,0,0,0,0,12,80,"3,969",4,512,"2,030,000"
아이폰 12,2020,15.4,0.162,"1,200",2,0,0,0,0,11,65,"2,815",4,64,"950,000"
아이폰 12,2020,15.4,0.162,"1,200",2,0,0,0,0,11,65,"2,815",4,128,"1,020,000"
아이폰 12,2020,15.4,0.162,"1,200",2,0,0,0,0,11,65,"2,815",4,256,"1,160,000"
아이폰 12 Mini,2020,13.7,0.133,"1,200",2,0,0,0,0,10,50,"2,227",4,64,"950,000"
아이폰 12 Mini,2020,13.7,0.133,"1,200",2,0,0,0,0,10,50,"2,227",4,128,"1,020,000"
아이폰 12 Mini,2020,13.7,0.133,"1,200",2,0,0,0,0,10,50,"2,227",4,256,"1,160,000"
아이폰 12 Pro,2020,15.4,0.187,"1,200",3,0,0,0,0,11,65,"2,815",6,128,"1,350,000"
아이폰 12 Pro,2020,15.4,0.187,"1,200",3,0,0,0,0,11,65,"2,815",6,256,"1,490,000"
아이폰 12 Pro,2020,15.4,0.187,"1,200",3,0,0,0,0,11,65,"2,815",6,512,"1,760,000"
아이폰 12 Pro Max,2020,17,0.226,"1,200",3,0,0,0,0,12,80,"3,687",6,128,"1,490,000"
아이폰 12 Pro Max,2020,17,0.226,"1,200",3,0,0,0,0,12,80,"3,687",6,256,"1,630,000"
아이폰 12 Pro Max,2020,17,0.226,"1,200",3,0,0,0,0,12,80,"3,687",6,512,"1,900,000"
아이폰 SE(2세대),2020,11.9,0.148,"1,200",1,0,0,0,0,8,40,"1,821",3,64,"550,000"
아이폰 SE(2세대),2020,11.9,0.148,"1,200",1,0,0,0,0,8,40,"1,821",3,128,"620,000"
아이폰 SE(2세대),2020,11.9,0.148,"1,200",1,0,0,0,0,8,40,"1,821",3,256,"760,000"
아이폰 SE(3세대),2022,11.9,0.144,"1,200",1,0,0,0,0,10,50,"2,018",4,64,"650,000"
아이폰 SE(3세대),2022,11.9,0.144,"1,200",1,0,0,0,0,10,50,"2,018",4,128,"730,000"
아이폰 SE(3세대),2022,11.9,0.144,"1,200",1,0,0,0,0,10,50,"2,018",4,256,"880,000"
아이폰 13,2021,15.4,0.173,"1,200",2,0,0,0,0,15,75,"3,227",4,128,"1,090,000"
아이폰 13,2021,15.4,0.173,"1,200",2,0,0,0,0,15,75,"3,227",4,256,"1,230,000"
아이폰 13,2021,15.4,0.173,"1,200",2,0,0,0,0,15,75,"3,227",4,512,"1,500,000"
아이폰 13 Mini,2021,13.7,0.14,"1,200",2,0,0,0,0,13,55,"2,406",4,128,"950,000"
아이폰 13 Mini,2021,13.7,0.14,"1,200",2,0,0,0,0,13,55,"2,406",4,256,"1,090,000"
아이폰 13 Mini,2021,13.7,0.14,"1,200",2,0,0,0,0,13,55,"2,406",4,512,"1,360,000"
아이폰 13 Pro,2021,15.4,0.203,"1,200",3,0,0,0,0,20,75,"3,095",6,128,"1,350,000"
아이폰 13 Pro,2021,15.4,0.203,"1,200",3,0,0,0,0,20,75,"3,095",6,256,"1,490,000"
아이폰 13 Pro,2021,15.4,0.203,"1,200",3,0,0,0,0,20,75,"3,095",6,512,"1,760,000"
