상품번호,카테고리정보,최소가격,상품명,상세스펙,등록월,상품의견,가격,메모리,이미지URL
16633415,디지털 완제품_노트북,1811550,LG전자 2022 그램16(12세대) 16Z90Q-GA76K,노트북 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 40.6cm(16인치) / 																											2560x1600(WQXGA) / 																											350nit / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 																											5200MHz / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											2개(USB-C겸용) / 												USB-A: 2개 / MicroSD카드 / 부가기능 얼굴 인식 / 																											USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											80Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											16.8mm / 																											무게: 																											1.199kg / 												색상: 화이트,2022.03.,(47건),"['1,811,550원\n\n가격정보 더보기']",['SSD 512GB'],//img.danawa.com/prod_img/500000/415/633/img/16633415_1.jpg?shrink=130:130&_v=20220610100042
16633529,디지털 완제품_노트북,1372800,LG전자 2022 그램16(12세대) 16ZD90Q-EX56K,노트북 / 																											운영체제(OS): 																											미포함(프리도스) / 												화면정보 40.6cm(16인치) / 																											2560x1600(WQXGA) / 																											350nit / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 																											5200MHz / 												램 교체: 불가능 / 그래픽 외장그래픽 / 															RTX2050 / 																											VRAM:4GB / 												저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											2개(USB-C겸용) / 												USB-A: 2개 / MicroSD카드 / 부가기능 얼굴 인식 / 																											USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											90Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											16.8mm / 																											무게: 																											1.285kg / 												색상: 화이트,2022.03.,(459건),"['1,372,800원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/prod_img/500000/529/633/img/16633529_1.jpg?shrink=130:130&_v=20220525093612
16634069,디지털 완제품_노트북,1497330,LG전자 2022 그램360 16TD90Q-GX70K,2 in 1 / 																											운영체제(OS): 																											미포함(프리도스) / 												화면정보 40.6cm(16인치) / 																											2560x1600(WQXGA) / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 																											5200MHz / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											2개(USB-C겸용) / 												USB-A: 1개 / MicroSD카드 / 부가기능 얼굴 인식 / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											80Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											17mm / 																											무게: 																											1.48kg / 												색상: 블랙,2022.03.,(24건),"['1,497,330원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/prod_img/500000/069/634/img/16634069_1.jpg?shrink=130:130&_v=20220519091555
16633895,디지털 완제품_노트북,2039000,LG전자 2022 그램360 16T90Q-GA79K,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 40.6cm(16인치) / 																											2560x1600(WQXGA) / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 																											5200MHz / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											2개(USB-C겸용) / 												USB-A: 1개 / MicroSD카드 / 부가기능 얼굴 인식 / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											80Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											17mm / 																											무게: 																											1.48kg / 												색상: 블랙,2022.03.,(40건),"['2,039,000원\n\n가격정보 더보기']",['SSD 512GB'],//img.danawa.com/prod_img/500000/895/633/img/16633895_1.jpg?shrink=130:130&_v=20220404123534
16635905,디지털 완제품_노트북,1480480,LG전자 2022 그램17(12세대) 17ZD90Q-EX56K,노트북 / 																											운영체제(OS): 																											미포함(프리도스) / 												화면정보 43.1cm(17인치) / 																											2560x1600(WQXGA) / 																											350nit / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 																											5200MHz / 												램 교체: 불가능 / 그래픽 외장그래픽 / 															RTX2050 / 																											VRAM:4GB / 												저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											2개(USB-C겸용) / 												USB-A: 2개 / MicroSD카드 / 부가기능 얼굴 인식 / 																											USB-PD / 																											DP Alt Mode / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(4열) / 												파워 배터리: 																											90Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											17.7mm / 																											무게: 																											1.435kg / 												색상: 화이트,2022.03.,(127건),"['1,480,480원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/new/noData/img/noImg_160.gif
,,,,,,,,,
16634249,디지털 완제품_노트북,1981120,LG전자 2022 그램17(12세대) 17Z90Q-EA76K,노트북 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 43.1cm(17인치) / 																											2560x1600(WQXGA) / 																											350nit / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 																											5200MHz / 												램 교체: 불가능 / 그래픽 외장그래픽 / 															RTX2050 / 																											VRAM:4GB / 												저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											2개(USB-C겸용) / 												USB-A: 2개 / MicroSD카드 / 부가기능 얼굴 인식 / 																											USB-PD / 																											DP Alt Mode / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(4열) / 												파워 배터리: 																											90Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											17.7mm / 																											무게: 																											1.45kg / 												색상: 화이트,2022.03.,(104건),"['1,981,120원\n\n가격정보 더보기']",['SSD 512GB'],//img.danawa.com/new/noData/img/noImg_160.gif
16635653,디지털 완제품_노트북,1466370,LG전자 2022 그램17(12세대) 17ZD90Q-GX56K,노트북 / 																											운영체제(OS): 																											미포함(프리도스) / 												화면정보 43.1cm(17인치) / 																											2560x1600(WQXGA) / 																											350nit / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 																											5200MHz / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											2개(USB-C겸용) / 												USB-A: 2개 / MicroSD카드 / 부가기능 얼굴 인식 / 																											USB-PD / 																											DP Alt Mode / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(4열) / 												파워 배터리: 																											80Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											17.7mm / 																											무게: 																											1.35kg / 												색상: 화이트,2022.03.,(44건),"['1,466,370원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/new/noData/img/noImg_160.gif
16096913,디지털 완제품_노트북,375060,LG전자 그램15 15UB470 코어i5,중고 / 																											운영체제(OS): 																											윈도우10 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-6세대 / 																											i5-6200U (2.3GHz) / 																											듀얼(2)코어 / 												램 DDR4 / 																											램 용량: 																											8GB / 												그래픽 외장그래픽 / 															940MX / 																											VRAM:4GB / 												저장장치 SSD / 																											256GB / 																											HDD: 																											500GB / 												네트워크 무선랜: 															802.11ac(Wi-Fi 5) / 												유선랜: 															기가비트 / 												영상입출력 HDMI / 																											웹캠 / 												단자 USB-A: 3개 / 															멀티리더기 / 												부가기능 입력장치 ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 충전단자: 																											DC / 												주요제원 두께: 																											19.9mm / 																											무게: 																											1.79kg / 												색상: 화이트,2022.01.,(64건),"['399,000원\n\n가격정보 더보기', '375,060원\n\n가격정보 더보기']","['2위, , , , , , , , , , , , , , , , , , , , , , , , , , , 중고, 500GB + SSD 128GB', '1위, , , , , , , , , , , , , , , , , , , , , , , , , , , 중고, 500GB + SSD 256GB']",//img.danawa.com/new/noData/img/noImg_160.gif
16633319,디지털 완제품_노트북,1659990,LG전자 2022 그램16(12세대) 16Z90Q-GA56K,노트북 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 40.6cm(16인치) / 																											2560x1600(WQXGA) / 																											350nit / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 																											5200MHz / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											2개(USB-C겸용) / 												USB-A: 2개 / MicroSD카드 / 부가기능 얼굴 인식 / 																											USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											80Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											16.8mm / 																											무게: 																											1.199kg / 												색상: 화이트,2022.03.,(65건),"['1,659,990원\n\n가격정보 더보기']",['SSD 512GB'],//img.danawa.com/new/noData/img/noImg_160.gif
