상품번호,카테고리정보,최소가격,상품명,상세스펙,등록월,상품의견,가격,메모리,이미지URL
16088615,패션잡화_시계,29790,APPLE 워치 스포츠 루프 (토네이도/그레이),"시계줄(스트랩) / 												스마트워치용 / 애플 워치 / 스포츠 루프 / 소재: 나일론 / 호환 크기: 42mm, 44mm, 45mm / 색상: 토네이도/그레이",2022.01.,(8건),"['29,790원\n\n가격정보 더보기']",['42mm/44mm/45mm'],//img.danawa.com/prod_img/500000/615/088/img/16088615_1.jpg?shrink=130:130&_v=20220928132752
16088657,패션잡화_시계,56460,APPLE 워치 스포츠 루프 XL (토네이도/그레이),"시계줄(스트랩) / 												스마트워치용 / 애플 워치 / 스포츠 루프 / 소재: 나일론 / 호환 크기: 42mm, 44mm, 45mm / 색상: 토네이도/그레이",2022.01.,(2건),"['56,460원\n\n가격정보 더보기']",['42mm/44mm/45mm'],//img.danawa.com/prod_img/500000/657/088/img/16088657_1.jpg?shrink=130:130&_v=20220928132752
16314779,패션잡화_시계,16840,베켄 베락스 애플워치 컬러 심플 밴드,"시계줄(스트랩) / 												스마트워치용 / 애플 워치 / 솔로 루프 / 소재: 나일론 / 호환 크기: 38mm, 40mm, 41mm, 42mm, 44mm, 45mm / 색상: 블랙, 레드, 핑크, 블루, 카키, 그린레드, 블루블랙, 레드블루, 블루그린, 레드블랙",2022.02.,(2건),"['16,840원\n\n가격정보 더보기']",[''],//img.danawa.com/prod_img/500000/779/314/img/16314779_1.jpg?shrink=130:130&_v=20220203171951
16093082,태블릿/휴대폰_휴대폰 주변용품,39490,플레오맥스 PLEOMAX 5in1 마그네틱 15W 유무선 충전기 PMQC-5in1,충전기 / 																											무선충전기 / 																											케이블형 / 												총:1포트 / 															무선충전 												기기:3개 / 스마트폰 / 무선이어폰 / 애플워치 / 부가기능 스마트폰거치 / 																											충전상태표시 / 																											Qi인증,2022.01.,,"['39,490원\n\n가격정보 더보기']",['애플워치용'],//img.danawa.com/prod_img/500000/082/093/img/16093082_1.jpg?shrink=130:130&_v=20220829132226
16341416,태블릿/휴대폰_휴대폰 주변용품,28630,아이노비아 15W 3in1 맥세이프 고속 무선 충전기 MSC5,충전기 / 																											무선충전기 / 																											케이블형 / 												총:1포트 / 출력정보 총출력: 15W(맥세이프) / 무선단일: 최대15W / 															무선충전 												기기:3개 / 스마트폰 / 무선이어폰 / 애플워치 / 부가기능 맥세이프 / 																											충전상태표시 / 																											스탠드(조명) / 																											Qi인증 / 												보호기능 FOD / 												규격 가로:약175mm / 세로:약120mm / 두께(높이):약85mm / 무게:약295g,2022.02.,(8건),"['28,630원\n\n가격정보 더보기']",['애플워치용'],//img.danawa.com/new/noData/img/noImg_160.gif
,,,,,,,,,
16695440,태블릿/휴대폰_휴대폰 주변용품,40900,디지토 15W 3in1 맥세이프 무선충전기 DT-MFG3in1,"충전기 / 																											무선충전기 / 																											케이블형 / 												출력정보 총출력: 15W / 무선단일: 최대15W / 															무선충전 												기기:3개 / 스마트폰 / 무선이어폰 / 애플워치 / 갤럭시워치 / 부가기능 맥세이프 / 																											스마트폰거치 / 																											충전상태표시 / 																											Qi인증												 / 각도조절 / 높이조절 / 블랙: 갤럭시워치전용, 화이트: 애플워치전용",2022.03.,,"['40,900원\n\n가격정보 더보기', '40,900원\n\n가격정보 더보기']","['1위, , , , , , , , , , , , , , , , , , , , , , , , , , , 갤럭시워치용', '2위, , , , , , , , , , , , , , , , , , , , , , , , , , , 애플워치용']",//img.danawa.com/new/noData/img/noImg_160.gif
16394270,태블릿/휴대폰_휴대폰 주변용품,39900,아임커머스 UM2 5in1 무선충전기 UMWH-MF5in1,충전기 / 																											무선충전기 / 																											케이블형 / 												출력정보 총출력: 15W / 무선단일: 최대15W / 															무선충전 												기기:2개 / 스마트폰 / 무선이어폰 / 애플워치 / 갤럭시워치 / 부가기능 스탠드(조명) / 																											알람시계 / 																											Qi인증 / 												보호기능 FOD,2022.02.,(4건),"['39,900원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
16373531,태블릿/휴대폰_휴대폰 주변용품,38606,MAXTILL 15W 3in1 무선충전기 GM-WMC30I,충전기 / 																											무선충전기 / 																											케이블형 / 												출력정보 총출력: 15W / 무선단일: 최대15W / 															무선충전 												기기:3개 / 스마트폰 / 무선이어폰 / 애플워치 / 부가기능 스마트폰거치 / 																											Qi인증												 / 애플워치용,2022.02.,(1건),"['38,606원\n\n가격정보 더보기']",['애플워치용'],//img.danawa.com/new/noData/img/noImg_160.gif
16696133,태블릿/휴대폰_휴대폰 주변용품,29800,청연MnS naVee 15W 3in1 맥세이프 무선충전기 IQW-3300,충전기 / 																											무선충전기 / 																											케이블형 / 												출력정보 총출력: 15W / 무선단일: 최대15W / 															무선충전 												기기:3개 / 스마트폰 / 무선이어폰 / 애플워치 / 부가기능 맥세이프 / 																											스마트폰거치 / 																											충전상태표시 / 																											Qi인증												 / 각도조절 / 높이조절,2022.03.,(1건),"['29,800원\n\n가격정보 더보기']",['애플워치용'],//img.danawa.com/new/noData/img/noImg_160.gif
