상품번호,카테고리정보,최소가격,상품명,상세스펙,등록월,상품의견,가격,메모리,이미지URL
16084106,디지털 완제품_노트북,3515000,APPLE 2021 맥북프로16 MK1H3KH/A,노트북 / 																											운영체제(OS): 																											macOS Monterey / 												화면정보 41.05cm(16.2인치) / 																											3456x2234 / 																											1000nit / 																											주사율: 																											120Hz / 												CPU 애플(ARM) / 															실리콘 M1 MAX / 												APL1104 / 															10코어(8+2) / 												램 램 용량: 																											32GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / 															M1 MAX 32 core / 												저장장치 SSD / 																											1TB / 												네트워크 무선랜: 															802.11ax(Wi-Fi 6) / 												영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											3개(USB-C겸용) / 												SD카드 / 부가기능 지문 인식 / 																											고속충전 / 																											USB-PD / 																											DP Alt Mode / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											100Wh / 																											어댑터: 																											140W / 																											충전단자: 																											MagSafe 3 / 												주요제원 두께: 																											16.8mm / 																											무게: 																											2.2kg / 												쿨링팬: 2개 / 색상: 실버 / 16코어 Neural Engine / 최대 400GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+2인코딩+2ProRes) / 노치형 디스플레이 / 영문 키보드,2022.01.,(1건),"['3,515,000원\n\n가격정보 더보기']","['영문, 32GB, SSD 1TB']",//img.danawa.com/prod_img/500000/106/084/img/16084106_1.jpg?shrink=130:130&_v=20220103142603
16290818,디지털 완제품_노트북,2583000,APPLE 2021 맥북프로14 MKGP3KH/A M1 Pro 8core,노트북 / 																											운영체제(OS): 																											macOS Monterey / 												화면정보 35.97cm(14.2인치) / 																											3024x1964 / 																											1000nit / 																											주사율: 																											120Hz / 												CPU 애플(ARM) / 															실리콘 M1 PRO / 												APL1103 / 															옥타코어(6+2) / 												램 램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / 															M1 PRO 14 core / 												저장장치 SSD / 																											1TB / 												네트워크 무선랜: 															802.11ax(Wi-Fi 6) / 												영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											3개(USB-C겸용) / 												SD카드 / 부가기능 지문 인식 / 																											고속충전 / 																											USB-PD / 																											DP Alt Mode / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											70Wh / 																											어댑터: 																											67W / 																											충전단자: 																											MagSafe 3 / 												주요제원 두께: 																											15.5mm / 																											무게: 																											1.6kg / 												쿨링팬: 2개 / 색상: 그레이 / 16코어 Neural Engine / 최대 200GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이,2022.01.,(1건),"['2,583,000원\n\n가격정보 더보기']","['16GB, SSD 1TB']",//img.danawa.com/prod_img/500000/818/290/img/16290818_1.jpg?shrink=130:130&_v=20221021145201
16167962,디지털 완제품_노트북,4521700,APPLE 2021 맥북프로14 MKGP3KH/A M1 Max,노트북 / 																											운영체제(OS): 																											macOS Monterey / 												화면정보 35.97cm(14.2인치) / 																											3024x1964 / 																											1000nit / 																											주사율: 																											120Hz / 												CPU 애플(ARM) / 															실리콘 M1 MAX / 												APL1104 / 															10코어(8+2) / 												램 램 용량: 																											64GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / 															M1 MAX 32 core / 												저장장치 SSD / 																											512GB / 												네트워크 무선랜: 															802.11ax(Wi-Fi 6) / 												영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											3개(USB-C겸용) / 												SD카드 / 부가기능 지문 인식 / 																											고속충전 / 																											USB-PD / 																											DP Alt Mode / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											70Wh / 																											어댑터: 																											67W / 																											충전단자: 																											MagSafe 3 / 												주요제원 두께: 																											15.5mm / 																											무게: 																											1.6kg / 												쿨링팬: 2개 / 색상: 그레이 / 16코어 Neural Engine / 최대 400GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+2인코딩+2ProRes) / 노치형 디스플레이,2022.01.,(1건),"['4,521,700원\n\n가격정보 더보기', '3,899,000원\n\n가격정보 더보기', '4,128,270원\n\n가격정보 더보기']","['64GB, SSD 512GB', '1위, , , , , , , , , , , , , , , , , , , , , , , , , , , 32GB, SSD 1TB', '2위, , , , , , , , , , , , , , , , , , , , , , , , , , , 64GB, SSD 1TB']",//img.danawa.com/prod_img/500000/962/167/img/16167962_1.jpg?shrink=130:130&_v=20221021145201
16240427,디지털 완제품_노트북,3515000,APPLE 2021 맥북프로16 MK1A3KH/A,"노트북 / 																											운영체제(OS): 																											macOS Monterey / 												화면정보 41.05cm(16.2인치) / 																											3456x2234 / 																											1000nit / 																											주사율: 																											120Hz / 												CPU 애플(ARM) / 															실리콘 M1 MAX / 												APL1104 / 															10코어(8+2) / 												램 램 용량: 																											32GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / 															M1 MAX 32 core / 												저장장치 SSD / 																											1TB / 												네트워크 무선랜: 															802.11ax(Wi-Fi 6) / 												영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											3개(USB-C겸용) / 												SD카드 / 부가기능 지문 인식 / 																											고속충전 / 																											USB-PD / 																											DP Alt Mode / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											100Wh / 																											어댑터: 																											140W / 																											충전단자: 																											MagSafe 3 / 												주요제원 두께: 																											16.8mm / 																											무게: 																											2.2kg / 												쿨링팬: 2개 / 색상: 그레이 / 16코어 Neural Engine / 최대 400GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+2인코딩+2ProRes) / 노치형 디스플레이 / 출시가: 4,710,000원",2022.01.,,"['3,515,000원\n\n가격정보 더보기']","['영문, 32GB, SSD 1TB']",//img.danawa.com/prod_img/500000/427/240/img/16240427_1.jpg?shrink=130:130&_v=20220120145515
16168169,디지털 완제품_노트북,4521700,APPLE 2021 맥북프로14 MKGR3KH/A M1 Max,노트북 / 																											운영체제(OS): 																											macOS Monterey / 												화면정보 35.97cm(14.2인치) / 																											3024x1964 / 																											1000nit / 																											주사율: 																											120Hz / 												CPU 애플(ARM) / 															실리콘 M1 MAX / 												APL1104 / 															10코어(8+2) / 												램 램 용량: 																											64GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / 															M1 MAX 32 core / 												저장장치 SSD / 																											512GB / 												네트워크 무선랜: 															802.11ax(Wi-Fi 6) / 												영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											3개(USB-C겸용) / 												SD카드 / 부가기능 지문 인식 / 																											고속충전 / 																											USB-PD / 																											DP Alt Mode / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											70Wh / 																											어댑터: 																											96W / 																											충전단자: 																											MagSafe 3 / 												주요제원 두께: 																											15.5mm / 																											무게: 																											1.6kg / 												쿨링팬: 2개 / 색상: 실버 / 16코어 Neural Engine / 최대 400GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+2인코딩+2ProRes) / 노치형 디스플레이,2022.01.,,"['4,521,700원\n\n가격정보 더보기', '3,768,000원\n\n가격정보 더보기', '4,308,000원\n\n가격정보 더보기']","['64GB, SSD 512GB', '1위, , , , , , , , , , , , , , , , , , , , , , , , , , , 32GB, SSD 1TB', '2위, , , , , , , , , , , , , , , , , , , , , , , , , , , 64GB, SSD 1TB']",//img.danawa.com/new/noData/img/noImg_160.gif
,,,,,,,,,
16137179,디지털 완제품_노트북,2750000,APPLE 2021 맥북프로14 MKGR3KH/A M1 Pro 8core,노트북 / 																											운영체제(OS): 																											macOS Monterey / 												화면정보 35.97cm(14.2인치) / 																											3024x1964 / 																											1000nit / 																											주사율: 																											120Hz / 												CPU 애플(ARM) / 															실리콘 M1 PRO / 												APL1103 / 															옥타코어(6+2) / 												램 램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / 															M1 PRO 14 core / 												저장장치 SSD / 																											1TB / 												네트워크 무선랜: 															802.11ax(Wi-Fi 6) / 												영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											3개(USB-C겸용) / 												SD카드 / 부가기능 지문 인식 / 																											고속충전 / 																											USB-PD / 																											DP Alt Mode / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											70Wh / 																											어댑터: 																											67W / 																											충전단자: 																											MagSafe 3 / 												주요제원 두께: 																											15.5mm / 																											무게: 																											1.6kg / 												쿨링팬: 2개 / 색상: 실버 / 16코어 Neural Engine / 최대 200GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이,2022.01.,,"['2,750,000원\n\n가격정보 더보기']","['16GB, SSD 1TB']",//img.danawa.com/new/noData/img/noImg_160.gif
16114493,디지털 완제품_노트북,4334540,APPLE 2021 맥북프로16 MK183KH/A M1 Max,노트북 / 																											운영체제(OS): 																											macOS Monterey / 												화면정보 41.05cm(16.2인치) / 																											3456x2234 / 																											1000nit / 																											주사율: 																											120Hz / 												CPU 애플(ARM) / 															실리콘 M1 MAX / 												APL1104 / 															10코어(8+2) / 												램 램 용량: 																											64GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / 															M1 MAX 32 core / 												저장장치 SSD / 																											512GB / 												네트워크 무선랜: 															802.11ax(Wi-Fi 6) / 												영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											3개(USB-C겸용) / 												SD카드 / 부가기능 지문 인식 / 																											고속충전 / 																											USB-PD / 																											DP Alt Mode / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											100Wh / 																											어댑터: 																											140W / 																											충전단자: 																											MagSafe 3 / 												주요제원 두께: 																											16.8mm / 																											무게: 																											2.2kg / 												쿨링팬: 2개 / 색상: 그레이 / 16코어 Neural Engine / 최대 400GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+2인코딩+2ProRes) / 노치형 디스플레이,2022.01.,,"['4,334,540원\n\n가격정보 더보기']","['64GB, SSD 512GB']",//img.danawa.com/new/noData/img/noImg_160.gif
16297220,디카_메모리/리더기,168000,트랜센드 JetDrive Lite 330,"메모리카드 / 																											JetDrive / 																											256GB / 																											TLC / 												모델:TS256GJDL330 / 성능 읽기:95MB/s / 쓰기:75MB/s / 용도 맥북용 / 												기능 복구프로그램												 / 사용모델:맥북프로레티나13인치(Late2012,Early2013,Late2013,Mid2014)",2022.01.,,"['168,000원\n\n가격정보 더보기']","['512GB, , , , , , , , , , , , , , , , , , , , , , , , , , , , \n328원/1GB']",//img.danawa.com/new/noData/img/noImg_160.gif
16284443,디지털 완제품_노트북 주변기기,9280,쏘 애플 2012 2015 맥북프로 레티나 15인치 A1398 투명 하드 케이스,보호용품 / 												케이스 / 															38.1cm(15인치대),2022.01.,(4건),"['9,280원\n\n가격정보 더보기']",[''],//img.danawa.com/new/noData/img/noImg_160.gif
